Rodovia,Acidentes,Graves,Feridos,Leves
RJ 101,8626,807,7077,742
GO 153,3983,428,3050,505
ES 101,7239,1013,5833,390
SC 101,17509,1115,14759,1635
RS 116,6778,800,5155,823
PR 277,14672,2385,10621,1666
MS 262,2392,255,1820,317
RO 364,10973,1654,8422,897
PR 376,10050,1413,7734,903
PR 369,4596,598,3629,369
GO 60,4974,585,3826,563
MG 381,15128,2267,11951,910
PI 316,3372,850,2208,314
PI 343,3934,486,3052,396
RS 386,4428,591,3451,386
BA 116,5336,1246,3555,535
SC 280,2801,488,2120,193
PE 101,5442,406,4452,584
PR 116,7576,644,6081,851
DF 20,2095,9,1585,501
MG 365,3616,900,2492,224
PR 373,2068,442,1482,144
MG 262,4821,706,3699,416
MG 40,9455,1469,7288,698
TO 153,4695,1003,3126,566
SC 116,2213,784,1200,229
MT 364,4307,982,2788,537
PB 230,6535,620,5218,697
MG 251,4344,1754,2471,119
SP 116,16093,1374,13441,1278
SC 282,7864,1433,5827,604
MT 163,6566,973,4809,784
RN 101,2077,68,1800,209
RJ 116,5472,282,4623,567
RS 392,2175,472,1461,242
RS 285,2628,538,1820,270
BA 324,3946,490,3088,368
CE 116,4118,775,2953,390
RS 290,3814,680,2635,499
BA 101,4066,994,2766,306
SP 381,2461,107,1928,426
RJ 40,3246,267,2723,256
SC 470,4670,632,3732,306
PA 316,2322,691,1407,224
MS 163,7798,1689,5328,781
MG 116,8584,3128,5184,272
BA 242,4172,846,2892,434
MA 135,2381,567,1558,256
PE 232,4908,731,3488,689
PR 476,2840,437,2023,380
GO 40,2462,331,1879,252
MT 70,2949,194,2329,426
MG 50,2397,167,2027,203
PA 230,3078,1146,1526,406
PA 163,3521,1766,1595,160
